成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101106700021,2室1厅,北城新天地,50.55,40,40,7913,11,2020.01.16,南,毛坯,,中楼层(共20层),塔楼
101105354880,5室2厅,大华曲江公园世家三期,355,610,640,17184,169,2020.01.16,南北,毛坯,,低楼层(共3层),板楼
101104809160,2室2厅,大华曲江公园世家四期,107.36,175,175,16301,235,2020.01.16,南北,毛坯,,中楼层(共18层),板塔结合
101106444958,3室2厅,西安电力工业学校家属院,106.83,70,72,6553,42,2020.01.16,南北,简装,,高楼层(共5层),板楼
101105230910,2室2厅,金宇蓝苑,81.4,104,108,12715,184,2020.01.16,南,精装,,高楼层(共25层),板塔结合
101106291592,3室2厅,海亮新英里,126,200,205,15874,61,2020.01.16,南北,毛坯,,中楼层(共11层),板楼
101104557913,2室2厅,银领花园,100.08,116,116.8,11591,270,2020.01.16,东西,简装,,高楼层(共9层),板楼
101104112384,3室2厅,陕安丰登小区,141,163,165,11561,329,2020.01.16,南,精装,,中楼层(共32层),板塔结合
101105923263,2室2厅,灞桥园丁花苑,96.2,79,80,8161,103,2020.01.16,南,简装,,高楼层(共6层),板楼
101105219444,3室1厅,宏途星城,97.38,103,106,10578,186,2020.01.16,东北,简装,,中楼层(共32层),塔楼
101105229876,3室2厅,恒大绿洲,79.47,204,265,25608,184,2020.01.16,南北,精装,,低楼层(共11层),板塔结合
101106516641,2室1厅,减速机厂家属院,43.7,32,38,7323,32,2020.01.16,南北,简装,,高楼层(共6层),暂无数据
101105993269,2室2厅,上和城,95.69,132,132,13795,95,2020.01.16,西,精装,,低楼层(共33层),板塔结合
101105048688,3室2厅,曲江观唐,138.47,172,182,12422,204,2020.01.16,南北,毛坯,,中楼层(共32层),板塔结合
101104671182,2室2厅,旭景崇盛园,82.16,97,95,11697,253,2020.01.16,东北,毛坯,,高楼层(共33层),板塔结合
101104276375,2室1厅,太空花园小区,67,64,65,9553,307,2020.01.16,南,简装,,中楼层(共8层),板楼
