成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101106581338,2室2厅,西安市启智学校家属院,66.5,82,83.0,12256,30,2020.01.18,南北,简装,暂无数据,34.25216245475356,108.93628559327146,中楼层,6
101103064209,5室4厅,浐灞半岛A11区,307.0,830,860.0,27036,560,2020.01.18,南北,毛坯,暂无数据,34.32463901730524,109.04515096853405,低楼层,2
101106252033,3室2厅,荣城名苑,104.31,142,145.0,13614,68,2020.01.18,南北,精装,板塔结合,34.312885697813975,108.93771686344051,低楼层,27
101106136088,2室2厅,吉安小区,89.76,72,75.0,8000,81,2020.01.18,南北,毛坯,板楼,27.126075438719838,115.0377491664414,高楼层,7
101106711722,2室1厅,恒佳首座,75.78,90,91.0,11877,10,2020.01.17,东南,精装,板塔结合,22.615209566516583,114.14310802459528,中楼层,22
101105371458,2室1厅,沁水新城,90.97,110,115.0,12092,168,2020.01.17,南,精装,板楼,35.69636446245674,112.19342620968516,低楼层,24
101105878870,3室1厅,双鱼花园广场,120.99,129,130.0,10621,111,2020.01.17,南,精装,塔楼,31.72465005211849,120.41063489947723,高楼层,24
101105702578,3室2厅,双威理想城,131.58,199,188.0,15124,130,2020.01.17,南北,简装,板塔结合,36.822279534048704,118.04379903501687,中楼层,33
101105953320,2室2厅,西控花园,89.11,104,106.0,11627,100,2020.01.17,东南,简装,板塔结合,34.279814859345635,108.88645856290512,高楼层,32
101106479266,2室1厅,榕青无界,65.34,86,88.0,13162,38,2020.01.17,南,精装,塔楼,39.92685708152209,116.44033196411692,中楼层,28
101105717393,3室2厅,春天花园,107.55,109,110.0,10135,128,2020.01.17,西南,精装,塔楼,31.223017902023287,121.40995603184936,低楼层,28
101106395127,2室2厅,凯森福景美地,89.23,100,110.0,11207,49,2020.01.16,东南,精装,板楼,22.669987005323264,114.13158968185849,高楼层,30
